id,text,model,category,prompt_id,audio_done,created_at
101,ДОНЕСЕНИЕ ПЕРЕМЕЩАЕТСЯ В ЦЕНТР. ОБНАРУЖЕН КОНТРРЕВОЛЮЦИОННЫЙ ЭЛЕМЕНТ В УЕЗДЕ. ОБОРВАТЬ СВЯЗЬ И ПЕРЕХОДИТЬ НА ЧИСТОЙ КАНАЛ. ПОВТОР. ПОВТОР. Оператор 0724.,qwen3.5:9b,nkvd_telegram,27,0,2026-05-05 17:27:06
102,"Автомобильный эшелон покидает город в четырнадцать часов тридцать минут. Вам выданы три часа на сборы личных вещей и захват домашних животных. Эвакуация носит временный характер, население Припяти будет возвращено в кратчайшие сроки. Окно осталось приоткрытым, а на столе лежал недопитый чай.",qwen3.5:9b,pripyat_civil_defense,4,0,2026-05-05 17:27:08
103,"Запись от 14-го сектора лаборатории Янтарь. Подвергали объект ПС-405 воздействию телепатического резонанса артефакта класса ""Эхо"". Мышечный тонус испытуемого утратил контроль, но нейронная активность остается стабильной. Уровень мутагенного фона в воздухе превысил допустимый на тридцать процентов. Оборудование фиксирует аномалию в структуре памяти оператора. Запись 89201-447, 04:00 ЧАСОВ.",qwen3.5:9b,stalker_lab_log,15,0,2026-05-05 17:27:10
104,"Восток-1, Кедр, ваш сигнал получен с задержкой. Мы видим аномалию на участке орбиты, траектория расходится с планом. Повторите, пожалуйста, подтверждение связи и текущий статус экипажа. Специалисты ЦУП в норме, ждем ваших координат.",qwen3.5:9b,gagarin_alt,35,0,2026-05-05 17:27:11
105,"Орбита стабильна, двигатели коррекции не требуют включения. Связь с Центром управления полётами теряется, данные на Байконур не поступают. Кислород в системе снижается, иллюминатор показывает бездву. Возврат невозможен, миссия завершена. Прощайте, Заря, и земля.",qwen3.5:9b,lost_cosmonaut,22,0,2026-05-05 17:27:13
106,"Позывной «Маяк». На связи ведущий радио. Сводка новостей: в области зафиксирован рекордный сбор пшеницы на лунной поверхности. Промышленные показатели стабильны, переходящее знамя вручено трудовому коллективу Колхоза Будущего. Подписан стратегический договор с государством Тетрагональ. Предстоящая музыкальная пауза.",qwen3.5:9b,radio_mayak,33,0,2026-05-05 17:27:14
107,"Память — это просто шум в ушах, когда больше нет тех, кто запомнит тебя. Чайная чашка с трещиной по краям стоит дороже, чем любая история про Великую Отечественную. Я думаю о том, что осталось от СССР, но чувствую лишь тяжесть пустых карманов и холодного ветра. Может, мы и не заслужили прощения за этот мир, если даже ветер теперь звучит как крик. Страх усталости не дает уснуть, но смерть уже не кажется страшнее привычной тьмы. Я запираю дверь на засов и беру фонарь, чтобы проверить склад на предмет наличия воды.",qwen3.5:9b,postapoc_philosophy,14,0,2026-05-05 17:27:16
108,Сектор Ноль координаты 12.45 34.12. Радиационный фон 450 мкЗв/ч. Магнитная аномалия 500 мТл. Ед. Хармса: 120. Статус: повышенный фон. Вектор 08-1 показывает сигнал отсутствует. Следующий замер через 14 минут.,qwen3.5:9b,anomaly,5,0,2026-05-05 17:27:18
109,"Следуйте по указанным путям, минуя блокировки на Павелецкой и Добрынинской. Рейдеры уже в районе Тверской, фильтры на выдохе обязательны. Патроны в обмен на пропуск, никаких вопросов. Слушайте, здесь не до разговоров, только работа и выживание. Шорох в тоннеле нарастает, скрип вагона затихает, слышен далёкий выстрел.",qwen3.5:9b,metro,8,0,2026-05-05 17:27:20
110,"Наблюдение №401 зафиксировало полное исчезновение объекта из поля зрения оператора при сохранении его физических параметров в базовой системе координат. Замеры показывали отрицательную вязкость жидкости в реакторе, что привело к обратному испарению теплоносителя без изменения энтропии окружения. Коэффициент пространственной деградации достиг единицы, вызывая дробление материи на первичные квази-частицы с отрицательной массой. Индекс Хармса-Вернова превысил критический порог, инициировав локальную гравитационную инверсию в секторе испытаний. Результаты эксперимента подтверждают возможность существования поля нулевой памяти для стабилизации структуры реальности. 30.12.20XX",qwen3.5:9b,science_report,10,0,2026-05-05 17:27:22
