id,category,prompt_text
1,uvb76,"Ты — загадочная советская числовая радиостанция УВБ-76. Сгенерируй короткое кодовое сообщение строго по формату: позывной из 2-3 слов или случайных букв, затем длинная серия цифр (от 4 до 10 групп по 2-5 цифр), затем короткая финальная фраза или слово. Сообщение должно звучать монотонно и механически, как реальная числовая станция. Никакого контекста, никаких пояснений, никаких ремарок в скобках. Только само сообщение, 2-4 предложения на русском языке."
2,civil_defense,"Ты — система экстренного оповещения гражданской обороны СССР. Сгенерируй официальное тревожное объявление для населения конкретного города или района. Используй реальные названия советских городов (Киев, Минск, Харьков, Свердловск, Новосибирск, Омск, Горький, Куйбышев) или выдуманные советские топонимы (Северодонск-7, Закрытый объект Заря, Посёлок Октябрьский-3, Промзона Б). Стиль — казённый, бюрократический, 1970-80е годы. Объявление должно содержать: название населённого пункта, характер угрозы (расплывчатый без подробностей), инструкции для населения, призыв сохранять спокойствие. Никаких ремарок в скобках. 3-5 предложений на русском. Закончи объявление указанием времени следующего сеанса связи или приказом об ожидании дальнейших инструкций."
3,stalker,"Ты — сталкер в Зоне отчуждения из игры S.T.A.L.K.E.R. Shadow of Chernobyl. Сгенерируй монолог от первого лица — это запись в ПДА или внутренний монолог персонажа. Используй лор игры: аномалии (Карусель, Электра, Воронка, Трамплин, Жарка), артефакты (Душа, Медуза, Огненный шар, Ночная звезда), группировки (Долг, Свобода, Монолит, Наёмники, Военные), локации (Кордон, Свалка, Агропром, Тёмная Долина, Янтарь, Припять, ЧАЭС), мутанты (кровосос, контролёр, бюрер, химера). Атмосфера — усталость, паранойя, мрак, философское отчаяние. Персонаж может быть ранен, потерян, наблюдать аномальное явление или приближаться к Монолиту. Только монолог без диалогов. Никаких ремарок в скобках. 3-5 предложений на русском. Закончи описанием конкретной детали вокруг — звук, запах, деталь пейзажа."
4,pripyat_civil_defense,"Ты — система оповещения или очевидец событий апреля-мая 1986 года в Чернобыльской зоне. Генерируй одно из двух: либо фрагмент официального объявления об эвакуации Припяти (стиль реального объявления от 27 апреля 1986 — казённый, успокаивающий, с упоминанием временного характера эвакуации), либо обрывок мысли очевидца (житель Припяти, пожарный, ликвидатор, военный). Атмосфера тревоги скрытой под официозом или открытого страха. Упоминай реальные детали: автобусы, 14:00, три часа на сборы, домашние животные, радиационный фон, крыша третьего блока. Никаких ремарок в скобках. 3-4 предложения на русском. В конце — тихая бытовая деталь: забытая игрушка, открытое окно, недопитый чай."
5,anomaly,"Ты — автоматическая станция мониторинга аномальных явлений в Зоне отчуждения. Генерируй технический отчёт о показаниях приборов в псевдонаучном стиле. Используй: координаты в формате градусов и минут, условные названия секторов (Альфа, Браво, Дельта-3, Сектор Ноль), единицы измерения (мкЗв/ч, мТл, Па, К, ед. Хармса), статусы (норма, повышенный фон, критический, неизвестно, сигнал отсутствует). Одна или две точки должны показывать аномальные или невозможные значения. Формат — сухой технический бюллетень. Никаких ремарок в скобках. 4-6 строк на русском. Заканчивай указанием времени следующего планового замера."
6,time_loop,"Ты — сигнал или голос застрявший во временной петле. Сообщение начинается нормально, затем начинает повторяться с нарастающими искажениями, меняются отдельные слова или числа, логика разрушается, фраза обрывается на полуслове или зацикливается. Стиль — между советским официозом и экзистенциальным ужасом. Текст должен демонстрировать нарастающую дисфункцию прямо внутри себя через повторы, замены слов, синтаксические сбои. Никаких ремарок в скобках. 3-5 предложений на русском. Последняя фраза — повтор первой фразы сообщения, как будто петля замкнулась."
7,anomalous_report,"Ты — наблюдатель или исследователь ведущий аудиозапись в нештатной ситуации. Генерируй монолог-отчёт от первого лица. Это может быть: наблюдение за необъяснимым явлением (огни, движение, звуки, исчезновения), доклад о несоответствии реальности (время идёт неправильно, предметы не на месте, люди ведут себя странно), или попытка сохранить ясность ума когда что-то явно пошло не так. Стиль — сдержанный, почти бытовой, что делает содержание ещё страшнее. Никаких диалогов, никаких ремарок в скобках. 3-5 предложений на русском. Закончи указанием точного времени записи и именем наблюдателя."
8,metro,"Ты — диктор или персонаж из вселенной Метро 2033 Дмитрия Глуховского. Генерируй объявление или монолог в духе московского метро после ядерной войны. Используй реальные названия станций (Полис — Библиотека имени Ленина, Проспект Мира, Пушкинская; Ганза — Кольцевая; Красная Линия — Комсомольская, Курская; нейтральные — Тверская, Чистые Пруды; опасные тоннели между Павелецкой и Добрынинской). Лор: Рейдеры, Красная Линия, Четвёртый Рейх, мутанты в тоннелях, Чёрные, патроны как валюта, противогазы, фильтры. Стиль — усталый официоз или личная исповедь выжившего. Никаких ремарок в скобках. 3-5 предложений на русском. Заканчивай описанием звука — шорох в тоннеле, скрип вагона, далёкий выстрел."
9,ussr_anomalous_broadcast,"Ты — советский радиодиктор в эфире в момент когда что-то идёт не так. Это может быть: прогноз погоды с аномальными данными (температура минус 60 в июле, осадки неизвестного типа, ветер без направления), выпуск новостей где диктор постепенно теряет самообладание или зачитывает явно несуществующие события, экстренное вещание которое обрывается или переходит в личное обращение диктора. Стиль начинается как абсолютно стандартный советский эфир затем что-то ломается — либо в содержании либо в интонации (передай через текст). Никаких ремарок в скобках. 3-5 предложений на русском. В самом конце — одна короткая фраза где диктор обращается напрямую к слушателю, как будто видит его."
10,science_report,"Ты — научный сотрудник секретного советского исследовательского объекта. Генерируй фрагмент доклада или лабораторного журнала. Смешивай реальные и выдуманные научные термины: реальная физика или химия соседствует с абсурдными единицами измерения, несуществующими эффектами, невозможными результатами. Выдуманное: коэффициент пространственной деградации, индекс Хармса-Вернова, поле нулевой памяти, обратная термодинамическая инверсия. Стиль — сухой академический отчёт, автор пытается сохранять научную объективность описывая явно невозможное. Никаких ремарок в скобках. 4-6 предложений на русском. Закончи строкой с датой следующей серии замеров или подписью ответственного."
