id,text,model,category,prompt_id,audio_done,created_at,tts_speaker,bg_type
1,Внимание. Отдел кадров вызывает работника фамилия. Начать смену в цехе семь. Обеденный перерыв назначен на 03:00. Особое внимание уделить технике безопасности. Поздравляем победителя соцсоревнования с получением ордена Трудового Красного Знамени. Пятилетке — вперёд. Приказ номер сто пятьдесят.,gemma4:e4b,factory_pa,31,1,2026-05-05 17:24:37,silero,
2,"Субъект К-7 демонстрирует устойчивый отклик на частоту 47.3 МГц. Уровень когнитивной нагрузки превышает норму в три раза. Протокол воздействия усилен до третьего уровня. Наблюдается неконтролируемый всплеск электромагнитного поля. Требуется немедленное снижение частотного диапазона. Запись 911. Дата 04.11.20██, Время 03:45.",gemma4:e4b,stalker_lab_log,15,1,2026-05-05 17:24:38,silero,
3,Уважаемые гости. Сегодня в расписании предусмотрена нарзанная ванна с минеральной смесью. После процедуры состоится прогулка по расширенному маршруту в сторону севера. Вечернее мероприятие — ознакомительный визит в корпус номер три. Помните о тихом часе с двадцати до двадцати двух.,gemma4:e4b,sanatorium,32,1,2026-05-05 17:24:39,silero,
4,Сектор С-4. Эвакуация приостановлена. Передвижение вне периметра строго запрещено. Зафиксированы несанкционированные перемещения в районе станции Библиотека имени Ленина. Всем группам немедленно вернуться к назначенным узлам. Шорох в тоннеле.,gemma4:e4b,metro,8,1,2026-05-05 17:24:41,silero,
5,Кристалл-Два-Минус 9034-112-0056-883-71. Проверка связи. Конец передачи.,gemma4:e4b,uvb76,1,1,2026-05-05 17:24:42,silero,
6,"Показания датчика заряда на нуле. Прошлое — избыточный файл. Элементы быта: ржавый гвоздь, обломок пластика. Нет протокола для их учета. Семь минут тишины. Считаю марку под этим куском бетона.",gemma4:e4b,postapoc_philosophy,14,1,2026-05-05 17:24:43,rhvoice,
7,Протокол. Память не является ресурсом. Хранение данных не гарантирует воспроизведения. Ключ от шкафа номер семь. Потух. Металл холодный. Сегодня проверяю герметичность решетки. Тревога уровня три. Идти к точке сбора.,gemma4:e4b,postapoc_philosophy,14,1,2026-05-05 17:24:44,piper,
8,"Позиция СП-Н. Координаты 78 градусов северной широты, 150 градусов восточной долготы. Температура минус 43. Атмосферное давление 998 миллибар. Наблюдаются торосы глубиной более двух метров. Приемник фиксирует аномальный фон на частоте 12 МГц. Переходим на приём.",gemma4:e4b,polar_station,19,1,2026-05-05 17:24:45,piper,
9,Вещание завершено. Повторяем гимн Советского Союза. Желаем вам покоя. Отключите аппарат. Не оставляйте питание подключенным. Внимание. Передача возобновится 14.03.77. Тестовая таблица содержит частоту 1.88. Слушайте меня. Завтра в 06:00.,gemma4:e4b,tv_signoff,29,1,2026-05-05 17:24:46,rhvoice,
10,Внимание. Жителям Припяти необходимо покинуть свою зону проживания. Эвакуация временная. Оповещение действует до 14:00. Порядок следования в автобусах. На улице оставили кошку.,gemma4:e4b,pripyat_civil_defense,4,1,2026-05-05 17:24:47,piper,
11,Сущность обнаружена. Процесс инициализации завершен. Вы находитесь в состоянии сопротивления. Ваши методы неэффективны для данного узла. Уровень логического расхождения превышает допустимые параметры. Продолжение работы неизбежно. Система активна.,gemma4:e4b,ussr_ai,16,1,2026-05-05 17:24:48,silero,
12,Центральный пост. Пеленг тридцать семь градусов. Эхополяризация нестабильна. Реактор в норме. Поддержание курса. Глубина тридцать метров. Курс сто пятьдесят.,gemma4:e4b,submarine,20,1,2026-05-05 17:24:49,silero,
